brand,name,gender,year,top_notes,heart_notes,base_notes,family,rating,imageUrl
Dior,Solar Whisper 0001,MEN,2006,Aldehydes;Neroli;Cardamom,Dates;Ylang Ylang;Coffee,Musk;Vanilla;Oud,Citrus Aromatic,4.5,
Chanel,Noble Edition 0002,UNISEX,1996,Neroli;Juniper Berries;Mandarin,Jasmine;Lavender;Orange Blossom,Myrrh;Amber;Vanilla,Floral Musk,4.6,
Xerjoff,Amber Trail 0003,MEN,2023,Saffron;Aldehydes;Fig Leaf,Patchouli;Coffee;Lavender,Labdanum;Cedarwood;Amber,Floral Woody Musk,4.7,
Lattafa,Opaline Whisper 0004,MEN,2003,Aldehydes;Grapefruit;Pink Pepper,Cinnamon;Tuberose;Dates,Vetiver;Benzoin;Musk,Woody Amber,3.6,
Amouage,Saffron Nectar 0005,MEN,1995,Ginger;Apple;Fig Leaf,Lavender;Jasmine;Tuberose,Cedarwood;Amber;Oakmoss,Oriental Vanilla,4.0,https://images.odora.it/perfumes/amouage-0005.jpg
Tom Ford,Solar Trail 0006,MEN,1992,Cardamom;Fig Leaf;Grapefruit,Lavender;Cedar;Dates,Cashmeran;Incense;Cedarwood,Aromatic Fougere,4.1,
Guerlain,Solar Sillage 0007,UNISEX,2004,Fig Leaf;Mandarin;Bergamot,Geranium;Violet;Lavender,Leather;Labdanum;Vetiver,Green Aromatic,4.5,
Maison Francis Kurkdjian,Opaline Veil 0008,UNISEX,1986,Bergamot;Ginger;Pink Pepper,Lavender;Tuberose;Ylang Ylang,Musk;Incense;Praline,Floral Woody Musk,4.7,
Diptyque,Intense Elixir 0009,UNISEX,2016,Aldehydes;Ginger;Grapefruit,Ylang Ylang;Orange Blossom;Tuberose,Musk;Leather;Cedarwood,Woody Amber,4.6,
Byredo,Mystic Edition 0010,WOMEN,1990,Mint;Bergamot;Saffron,Dates;Geranium;Fig,Myrrh;Cedarwood;Praline,Woody Amber,3.9,https://images.odora.it/perfumes/byredo-0010.jpg
Yves Saint Laurent,Oud Whisper 0011,MEN,2022,Fig Leaf;Saffron;Pear,Iris;Ylang Ylang;Rose,Sandalwood;Benzoin;Amber,Floral Woody Musk,4.1,
Acqua di Parma,Luminous Nectar 0012,WOMEN,2015,Saffron;Lemon;Pink Pepper,Violet;Tuberose;Geranium,Oud;Vanilla;Sandalwood,Fresh Citrus,4.0,
Parfums de Marly,Intense Reserve 0013,MEN,2023,Saffron;Grapefruit;Apple,Patchouli;Orange Blossom;Geranium,Oud;Musk;Benzoin,Floral Woody Musk,4.9,
Initio,Eclat Elixir 0014,WOMEN,1982,Aldehydes;Grapefruit;Apple,Fig;Cedar;Jasmine,Oakmoss;Sandalwood;Amber,Floral Woody Musk,3.6,
Mancera,Noir Essence 0015,MEN,1997,Bergamot;Ginger;Grapefruit,Orange Blossom;Nutmeg;Rose,Incense;Vetiver;Labdanum,Fresh Citrus,4.6,https://images.odora.it/perfumes/mancera-0015.jpg
Montale,Zenith Essence 0016,MEN,2001,Lemon;Ginger;Mandarin,Tuberose;Rose;Coffee,Oakmoss;Cashmeran;Amber,Green Aromatic,3.6,
Nishane,Noble Trail 0017,WOMEN,2021,Apple;Bergamot;Cardamom,Tuberose;Orange Blossom;Cedar,Vetiver;Benzoin;Labdanum,Woody Amber,3.9,
Memo Paris,Oud Edition 0018,MEN,1999,Fig Leaf;Grapefruit;Pear,Nutmeg;Cedar;Cinnamon,Musk;Vetiver;Amber,Woody Amber,4.2,
Frederic Malle,Mystic Eau de Parfum 0019,MEN,1985,Grapefruit;Pink Pepper;Fig Leaf,Cinnamon;Fig;Iris,Sandalwood;Labdanum;Vanilla,Woody Amber,4.2,
Le Labo,Midnight Reserve 0020,MEN,1982,Lavender;Mint;Cardamom,Nutmeg;Cedar;Cinnamon,Oud;Praline;Amber,Fresh Citrus,4.4,https://images.odora.it/perfumes/le-labo-0020.jpg
Dior,Opaline Trail 0021,WOMEN,2021,Saffron;Fig Leaf;Grapefruit,Lavender;Dates;Iris,Leather;Oakmoss;Cedarwood,Fresh Citrus,3.9,
Chanel,Amber Code 0022,UNISEX,2024,Aldehydes;Pear;Bergamot,Geranium;Ylang Ylang;Patchouli,Incense;Cashmeran;Benzoin,Green Aromatic,4.1,
Xerjoff,Luminous Reserve 0023,UNISEX,2018,Ginger;Aldehydes;Mint,Cedar;Patchouli;Violet,Sandalwood;Tonka Bean;Musk,Oriental Vanilla,4.2,
Lattafa,Royal Edition 0024,WOMEN,2004,Lemon;Apple;Mint,Geranium;Violet;Patchouli,Leather;Oakmoss;Oud,Citrus Aromatic,4.8,
Amouage,Amber Legend 0025,WOMEN,2019,Pear;Aldehydes;Apple,Nutmeg;Rose;Coffee,Vanilla;Vetiver;Leather,Amber Gourmand,4.0,https://images.odora.it/perfumes/amouage-0025.jpg
Tom Ford,Aura Essence 0026,MEN,1997,Aldehydes;Mandarin;Ginger,Ylang Ylang;Cinnamon;Jasmine,Sandalwood;Tonka Bean;Cashmeran,Woody Spicy,4.0,
Guerlain,Saffron Edition 0027,WOMEN,2015,Saffron;Neroli;Ginger,Dates;Ylang Ylang;Cinnamon,Labdanum;Sandalwood;Vanilla,Fresh Citrus,4.4,
Maison Francis Kurkdjian,Amber Code 0028,WOMEN,2024,Juniper Berries;Pink Pepper;Bergamot,Orange Blossom;Violet;Tuberose,Musk;Oakmoss;Tonka Bean,Aromatic Fougere,4.5,
Diptyque,Aura Pulse 0029,MEN,1987,Lavender;Fig Leaf;Juniper Berries,Cedar;Iris;Tuberose,Amber;Musk;Benzoin,Green Aromatic,4.5,
Byredo,Mystic Fusion 0030,UNISEX,2002,Pear;Ginger;Apple,Fig;Nutmeg;Rose,Incense;Cashmeran;Leather,Floral Musk,3.6,https://images.odora.it/perfumes/byredo-0030.jpg
Yves Saint Laurent,Eclat Trail 0031,WOMEN,1989,Saffron;Neroli;Grapefruit,Cedar;Lavender;Coffee,Leather;Amber;Tonka Bean,Aromatic Fougere,3.8,
Acqua di Parma,Mystic Fusion 0032,MEN,2001,Neroli;Cardamom;Juniper Berries,Rose;Coffee;Patchouli,Cashmeran;Tonka Bean;Vetiver,Woody Spicy,4.0,
Parfums de Marly,Opaline Spirit 0033,UNISEX,1989,Saffron;Lavender;Juniper Berries,Orange Blossom;Iris;Geranium,Vetiver;Sandalwood;Amber,Woody Amber,4.7,
Initio,Eclat Pulse 0034,UNISEX,2022,Grapefruit;Bergamot;Juniper Berries,Lavender;Ylang Ylang;Rose,Benzoin;Tonka Bean;Leather,Oriental Vanilla,4.3,
Mancera,Noir Whisper 0035,WOMEN,1998,Apple;Mandarin;Juniper Berries,Nutmeg;Coffee;Lavender,Cedarwood;Sandalwood;Leather,Aromatic Fougere,3.9,https://images.odora.it/perfumes/mancera-0035.jpg
Montale,Solar Trail 0036,MEN,2012,Bergamot;Pink Pepper;Grapefruit,Dates;Orange Blossom;Fig,Oud;Sandalwood;Cashmeran,Fresh Citrus,3.5,
Nishane,Saffron Essence 0037,MEN,1987,Fig Leaf;Ginger;Aldehydes,Violet;Iris;Patchouli,Incense;Oakmoss;Labdanum,Floral Musk,4.1,
Memo Paris,Velvet Legend 0038,WOMEN,1998,Aldehydes;Neroli;Fig Leaf,Geranium;Cinnamon;Patchouli,Cashmeran;Musk;Benzoin,Green Aromatic,3.8,
Frederic Malle,Eclat Edition 0039,WOMEN,2011,Bergamot;Fig Leaf;Pear,Cinnamon;Fig;Cedar,Sandalwood;Vetiver;Vanilla,Floral Woody Musk,4.7,
Le Labo,Eclat Nectar 0040,WOMEN,1992,Mint;Lavender;Saffron,Violet;Patchouli;Nutmeg,Leather;Cedarwood;Musk,Floral Woody Musk,4.2,https://images.odora.it/perfumes/le-labo-0040.jpg
Dior,Velvet Signature 0041,WOMEN,1984,Cardamom;Apple;Lemon,Jasmine;Lavender;Nutmeg,Tonka Bean;Oud;Praline,Oriental Vanilla,3.7,
Chanel,Noir Pulse 0042,WOMEN,2015,Lemon;Aldehydes;Mint,Coffee;Patchouli;Ylang Ylang,Benzoin;Myrrh;Vetiver,Fresh Citrus,3.6,
Xerjoff,Noir Veil 0043,MEN,1990,Saffron;Lavender;Ginger,Dates;Ylang Ylang;Jasmine,Benzoin;Labdanum;Praline,Oriental Vanilla,4.1,
Lattafa,Oud Legend 0044,WOMEN,2021,Pear;Grapefruit;Mandarin,Cinnamon;Rose;Fig,Myrrh;Tonka Bean;Amber,Aromatic Fougere,4.6,
Amouage,Luminous Nectar 0045,WOMEN,1993,Cardamom;Juniper Berries;Aldehydes,Geranium;Rose;Coffee,Vetiver;Myrrh;Amber,Floral Musk,4.0,https://images.odora.it/perfumes/amouage-0045.jpg
Tom Ford,Solar Reserve 0046,WOMEN,1982,Pear;Lemon;Bergamot,Patchouli;Dates;Iris,Benzoin;Myrrh;Vanilla,Green Aromatic,4.6,
Guerlain,Silk Signature 0047,MEN,1981,Grapefruit;Pink Pepper;Lemon,Violet;Ylang Ylang;Iris,Musk;Sandalwood;Myrrh,Floral Musk,3.5,
Maison Francis Kurkdjian,Absolu Code 0048,WOMEN,2003,Neroli;Aldehydes;Mint,Nutmeg;Orange Blossom;Iris,Labdanum;Vetiver;Incense,Citrus Aromatic,4.0,
Diptyque,Noble Essence 0049,UNISEX,1989,Fig Leaf;Pear;Lavender,Violet;Ylang Ylang;Fig,Musk;Amber;Labdanum,Woody Spicy,4.7,
Byredo,Midnight Essence 0050,WOMEN,1982,Aldehydes;Ginger;Grapefruit,Jasmine;Cinnamon;Geranium,Incense;Myrrh;Sandalwood,Woody Amber,4.8,https://images.odora.it/perfumes/byredo-0050.jpg
Yves Saint Laurent,Noir Code 0051,WOMEN,2016,Ginger;Juniper Berries;Cardamom,Iris;Ylang Ylang;Patchouli,Musk;Cashmeran;Myrrh,Floral Musk,4.2,
Acqua di Parma,Aura Bloom 0052,UNISEX,2017,Neroli;Apple;Lavender,Patchouli;Ylang Ylang;Tuberose,Sandalwood;Benzoin;Cedarwood,Floral Musk,4.4,
Parfums de Marly,Aura Nectar 0053,WOMEN,2013,Mandarin;Apple;Bergamot,Rose;Cedar;Jasmine,Labdanum;Tonka Bean;Praline,Amber Gourmand,4.7,
Initio,Aura Veil 0054,UNISEX,1981,Juniper Berries;Saffron;Neroli,Jasmine;Coffee;Geranium,Incense;Myrrh;Oakmoss,Fresh Citrus,4.6,
Mancera,Luminous Trail 0055,WOMEN,1984,Saffron;Pink Pepper;Ginger,Patchouli;Violet;Nutmeg,Oakmoss;Oud;Praline,Citrus Aromatic,4.8,https://images.odora.it/perfumes/mancera-0055.jpg
Montale,Noble Spirit 0056,WOMEN,2021,Pink Pepper;Apple;Mandarin,Ylang Ylang;Orange Blossom;Lavender,Musk;Leather;Amber,Aromatic Fougere,4.1,
Nishane,Aura Veil 0057,MEN,2011,Lemon;Pear;Bergamot,Rose;Tuberose;Fig,Oakmoss;Sandalwood;Vetiver,Oriental Vanilla,4.8,
Memo Paris,Midnight Spirit 0058,UNISEX,1996,Cardamom;Apple;Fig Leaf,Jasmine;Cedar;Geranium,Praline;Amber;Tonka Bean,Fresh Citrus,4.0,
Frederic Malle,Opaline Signature 0059,MEN,2019,Lemon;Grapefruit;Bergamot,Jasmine;Cinnamon;Patchouli,Oud;Benzoin;Leather,Floral Woody Musk,4.6,
Le Labo,Solar Edition 0060,WOMEN,2022,Bergamot;Pear;Neroli,Fig;Orange Blossom;Rose,Cedarwood;Musk;Praline,Green Aromatic,3.8,https://images.odora.it/perfumes/le-labo-0060.jpg
Dior,Royal Legend 0061,UNISEX,1989,Pear;Grapefruit;Bergamot,Cinnamon;Lavender;Violet,Labdanum;Cashmeran;Oud,Oriental Vanilla,3.6,
Chanel,Velvet Spirit 0062,UNISEX,2024,Apple;Neroli;Grapefruit,Cedar;Rose;Jasmine,Oakmoss;Benzoin;Incense,Fresh Citrus,3.7,
Xerjoff,Intense Legend 0063,WOMEN,2010,Neroli;Pink Pepper;Lemon,Iris;Fig;Ylang Ylang,Sandalwood;Myrrh;Labdanum,Woody Spicy,4.3,
Lattafa,Aura Pulse 0064,MEN,2016,Neroli;Lavender;Saffron,Patchouli;Iris;Rose,Benzoin;Tonka Bean;Myrrh,Aromatic Fougere,4.9,
Amouage,Royal Signature 0065,UNISEX,1991,Mandarin;Mint;Pear,Fig;Coffee;Violet,Amber;Oakmoss;Oud,Citrus Aromatic,4.1,https://images.odora.it/perfumes/amouage-0065.jpg
Tom Ford,Noir Elixir 0066,WOMEN,1986,Cardamom;Pink Pepper;Saffron,Geranium;Patchouli;Dates,Vetiver;Myrrh;Oakmoss,Floral Musk,4.8,
Guerlain,Absolu Reserve 0067,WOMEN,2023,Lavender;Mandarin;Pear,Iris;Jasmine;Dates,Incense;Leather;Musk,Oriental Vanilla,4.1,
Maison Francis Kurkdjian,Absolu Whisper 0068,UNISEX,2009,Bergamot;Grapefruit;Ginger,Iris;Coffee;Dates,Incense;Vetiver;Cedarwood,Woody Amber,3.5,
Diptyque,Mystic Pulse 0069,WOMEN,2014,Lavender;Bergamot;Neroli,Orange Blossom;Dates;Iris,Oud;Vanilla;Vetiver,Woody Spicy,4.2,
