row_index,brand,name,slug,longevity_score,sillage_score,versatility_score,matched_source,matched_url,matched_confidence,recommended_next_action,notes
2,Dior,Sauvage Elixir,dior-sauvage-elixir,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Dior/sauvage-elixir,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
3,Dior,Fahrenheit,dior-fahrenheit,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
4,Chanel,Bleu de Chanel Eau de Parfum,chanel-bleu-de-chanel-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Chanel/Bleu_de_Chanel_Eau_de_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
5,Chanel,Allure Homme Sport,chanel-allure-homme-sport,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
6,Yves Saint Laurent,La Nuit de L Homme,yves-saint-laurent-la-nuit-de-l-homme,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
7,Giorgio Armani,Acqua di Gio Profumo,giorgio-armani-acqua-di-gio-profumo,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
8,Giorgio Armani,Armani Code Parfum,giorgio-armani-armani-code-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Giorgio_Armani/armani-code-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
9,Prada,Luna Rossa Carbon,prada-luna-rossa-carbon,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
10,Hermes,Terre d Hermes,hermes-terre-d-hermes,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
11,Versace,Dylan Blue,versace-dylan-blue,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
