row_index,brand,name,slug,issue_type,candidate_matches,recommended_next_action,notes
2,Petite Beaute,Spongebob Squarepants - Patrick,petite-beaute-spongebob-squarepants-patrick,conflict,Parfumo Top Lists:Spongebob Squarepants - Patrick:https://www.parfumo.com/Perfumes/Petite_Beaute/Spongebob_Squarepants__Patrick:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Spongebob Squarepants - Patrick.
3,Arabian Oud,Madawi 40 Years Gold Edition,arabian-oud-madawi-40-years-gold-edition,conflict,Parfumo Top Lists:Madawi 40 Years Gold Edition:https://www.parfumo.com/Perfumes/Arabian_Oud/madawi-40-years-gold-edition:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Madawi 40 Years Gold Edition.
4,The Spirit of Dubai,Dubai - Rimal Eau de Parfum,the-spirit-of-dubai-dubai-rimal-eau-de-parfum,conflict,Parfumo Top Lists:Dubai - Rimal Eau de Parfum:https://www.parfumo.com/Perfumes/the-spirit-of-dubai/dubai-rimal-eau-de-parfum:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Dubai - Rimal Eau de Parfum.
5,Al Wataniah,Kayaan Classic,al-wataniah-kayaan-classic,conflict,Parfumo Top Lists:Kayaan Classic:https://www.parfumo.com/Perfumes/Al_Wataniah/kayaan-classic-1:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Kayaan Classic.
6,Cartier,Must de Cartier Parfum,cartier-must-de-cartier-parfum,conflict,Parfumo Top Lists:Must de Cartier Parfum:https://www.parfumo.com/Perfumes/Cartier/Must_de_Cartier_Parfum:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Must de Cartier Parfum.
7,Les Eaux Primordiales,Ambre Extrait de Parfum,les-eaux-primordiales-ambre-extrait-de-parfum,conflict,Parfumo Top Lists:Ambre Extrait de Parfum:https://www.parfumo.com/Perfumes/Les_Eaux_Primordiales/ambre-extrait-de-parfum:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Ambre Extrait de Parfum.
8,Nusuk,Ateeq,nusuk-ateeq,conflict,Parfumo Top Lists:Ateeq:https://www.parfumo.com/Perfumes/nusuk/ateeq:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Ateeq.
9,Rayhaan,Aquatica,rayhaan-aquatica,conflict,Parfumo Top Lists:Aquatica:https://www.parfumo.com/Perfumes/rayhaan/aquatica:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Aquatica.
10,Shiseido,Féminité du Bois Eau de Parfum,shiseido-feminite-du-bois-eau-de-parfum,conflict,Parfumo Top Lists:Féminité du Bois Eau de Parfum:https://www.parfumo.com/Perfumes/Shiseido/Feminite_du_Bois_Eau_de_Parfum:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Féminité du Bois Eau de Parfum.
11,Birkholz,Portraits of Portofino,birkholz-portraits-of-portofino,conflict,Parfumo Top Lists:Portraits of Portofino:https://www.parfumo.com/Perfumes/Birkholz/portraits-of-portofino:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Portraits of Portofino.
12,The Woods Collection,Dusk,the-woods-collection-dusk,conflict,Parfumo Top Lists:Dusk:https://www.parfumo.com/Perfumes/The_Woods_Collection/dusk:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Dusk.
